GermanLoadWorld
Feature data:
{'Age': {'type': 'numerical', 'mean': 35.546, 'std': 11.36977941738537}, 'Checking Status': {'values': array(['A11', 'A12', 'A13', 'A14'], dtype=object), 'type': 'categorical'}, 'Credit Amt': {'type': 'numerical', 'mean': 3271.258, 'std': 2821.3251545038192}, 'Credit History': {'values': array(['A30', 'A31', 'A32', 'A33', 'A34'], dtype=object), 'type': 'categorical'}, 'Duration': {'type': 'numerical', 'mean': 20.903, 'std': 12.052783537424043}, 'Existing credits': {'type': 'numerical', 'mean': 1.407, 'std': 0.5773655687690427}, 'Foreign Worker': {'values': array(['A201', 'A202'], dtype=object), 'type': 'categorical'}, 'Housing': {'values': array(['A151', 'A152', 'A153'], dtype=object), 'type': 'categorical'}, 'Installment Rate': {'type': 'numerical', 'mean': 2.973, 'std': 1.1181551770662246}, 'Job': {'values': array(['A171', 'A172', 'A173', 'A174'], dtype=object), 'type': 'categorical'}, 'Num People': {'type': 'numerical', 'mean': 1.155, 'std': 0.36190468358395134}, 'Other debtors': {'values': array(['A101', 'A102', 'A103'], dtype=object), 'type': 'categorical'}, 'Other installment plans': {'values': array(['A141', 'A142', 'A143'], dtype=object), 'type': 'categorical'}, 'Personal Status': {'values': array(['A91', 'A92', 'A93', 'A94'], dtype=object), 'type': 'categorical'}, 'Present Residence since': {'type': 'numerical', 'mean': 2.845, 'std': 1.1031658986752626}, 'Present emp since': {'values': array(['A71', 'A72', 'A73', 'A74', 'A75'], dtype=object), 'type': 'categorical'}, 'Property': {'values': array(['A121', 'A122', 'A123', 'A124'], dtype=object), 'type': 'categorical'}, 'Purpose': {'values': array(['A40', 'A41', 'A410', 'A42', 'A43', 'A44', 'A45', 'A46', 'A48',
       'A49'], dtype=object), 'type': 'categorical'}, 'Saving acc': {'values': array(['A61', 'A62', 'A63', 'A64', 'A65'], dtype=object), 'type': 'categorical'}, 'Telephone': {'values': array(['A191', 'A192'], dtype=object), 'type': 'categorical'}}
Actions: 
{'Age': {'step_range': [0, 2], 'max_change': [0, 10]}, 'Credit Amt': {'step_range': [-500, 500], 'max_change': [-5000, 5000]}, 'Duration': {'step_range': [-1, 1], 'max_change': [-10, 10]}}
Terminal Reward: 100



{'actor_lr': 0.001, 'critic_lr': 0.01, 'gamma': 0.95, 'tau': 0.01, 'buffer_size': 5000, 'minibatch_size': 25, 'max_episodes': 5000, 'max_episode_len': 50, 'random_seed': 123, 'max_final_steps': 50, 'summary_dir': './results/tf_ddpg', 'env': <germanloanworld.GermanLoanWorld object at 0x000001F1C6130A58>} 


Initial State:  Age:29.000 | Credit Amt:6805.176 | Duration:31.973 | 
Reward:-222.922 | Episode:10 | Qmax:-3.9722 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:40.440 | 
Reward:-226.744 | Episode:20 | Qmax:-8.5413 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-226.744 | Episode:30 | Qmax:-12.6327 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-226.744 | Episode:40 | Qmax:-16.2191 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-217.365 | Episode:50 | Qmax:-19.6471 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:35.921 | 
Reward:-226.744 | Episode:60 | Qmax:-22.8510 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-226.744 | Episode:70 | Qmax:-25.9686 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-226.744 | Episode:80 | Qmax:-28.9444 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-226.744 | Episode:90 | Qmax:-31.9747 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-226.744 | Episode:100 | Qmax:-34.4942 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-14.197 | Episode:110 | Qmax:-37.0160 | Episode Length:49 |  False | Age:39.000 | Credit Amt:6674.766 | Duration:29.079 | 
Reward:-59.347 | Episode:120 | Qmax:-39.1014 | Episode Length:49 |  False | Age:39.000 | Credit Amt:3427.171 | Duration:21.973 | 
Reward:-224.002 | Episode:130 | Qmax:-41.0006 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:40.936 | 
Reward:-226.744 | Episode:140 | Qmax:-42.6045 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-10.896 | Episode:150 | Qmax:-43.5787 | Episode Length:16 |  True | Age:29.000 | Credit Amt:2385.757 | Duration:27.525 | 
Reward:-0.820 | Episode:160 | Qmax:-44.1982 | Episode Length:24 |  True | Age:29.511 | Credit Amt:2533.163 | Duration:23.262 | 
Reward:-226.744 | Episode:170 | Qmax:-45.2183 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-218.160 | Episode:180 | Qmax:-46.4084 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:36.968 | 
Reward:-84.761 | Episode:190 | Qmax:-46.7952 | Episode Length:8 |  True | Age:29.158 | Credit Amt:1896.547 | Duration:29.441 | 
Reward:-50.627 | Episode:200 | Qmax:-46.9206 | Episode Length:12 |  True | Age:29.000 | Credit Amt:2090.491 | Duration:28.748 | 
Reward:-71.477 | Episode:210 | Qmax:-46.9588 | Episode Length:9 |  True | Age:29.141 | Credit Amt:1985.941 | Duration:25.228 | 
Reward:-226.744 | Episode:220 | Qmax:-46.9917 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-226.177 | Episode:230 | Qmax:-47.3756 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.780 | 
