GermanLoadWorld
Feature data:
{'Age': {'type': 'numerical', 'mean': 35.546, 'std': 11.36977941738537}, 'Checking Status': {'values': array(['A11', 'A12', 'A13', 'A14'], dtype=object), 'type': 'categorical'}, 'Credit Amt': {'type': 'numerical', 'mean': 3271.258, 'std': 2821.3251545038192}, 'Credit History': {'values': array(['A30', 'A31', 'A32', 'A33', 'A34'], dtype=object), 'type': 'categorical'}, 'Duration': {'type': 'numerical', 'mean': 20.903, 'std': 12.052783537424043}, 'Existing credits': {'type': 'numerical', 'mean': 1.407, 'std': 0.5773655687690427}, 'Foreign Worker': {'values': array(['A201', 'A202'], dtype=object), 'type': 'categorical'}, 'Housing': {'values': array(['A151', 'A152', 'A153'], dtype=object), 'type': 'categorical'}, 'Installment Rate': {'type': 'numerical', 'mean': 2.973, 'std': 1.1181551770662246}, 'Job': {'values': array(['A171', 'A172', 'A173', 'A174'], dtype=object), 'type': 'categorical'}, 'Num People': {'type': 'numerical', 'mean': 1.155, 'std': 0.36190468358395134}, 'Other debtors': {'values': array(['A101', 'A102', 'A103'], dtype=object), 'type': 'categorical'}, 'Other installment plans': {'values': array(['A141', 'A142', 'A143'], dtype=object), 'type': 'categorical'}, 'Personal Status': {'values': array(['A91', 'A92', 'A93', 'A94'], dtype=object), 'type': 'categorical'}, 'Present Residence since': {'type': 'numerical', 'mean': 2.845, 'std': 1.1031658986752626}, 'Present emp since': {'values': array(['A71', 'A72', 'A73', 'A74', 'A75'], dtype=object), 'type': 'categorical'}, 'Property': {'values': array(['A121', 'A122', 'A123', 'A124'], dtype=object), 'type': 'categorical'}, 'Purpose': {'values': array(['A40', 'A41', 'A410', 'A42', 'A43', 'A44', 'A45', 'A46', 'A48',
       'A49'], dtype=object), 'type': 'categorical'}, 'Saving acc': {'values': array(['A61', 'A62', 'A63', 'A64', 'A65'], dtype=object), 'type': 'categorical'}, 'Telephone': {'values': array(['A191', 'A192'], dtype=object), 'type': 'categorical'}}
Actions: 
{'Age': {'step_range': [0, 5], 'max_change': [0, 10]}, 'Credit Amt': {'step_range': [-3000, 3000], 'max_change': [-5000, 5000]}, 'Duration': {'step_range': [-3, 3], 'max_change': [-10, 10]}}
Terminal Reward: 100



{'actor_lr': 0.001, 'critic_lr': 0.01, 'gamma': 0.95, 'tau': 0.01, 'buffer_size': 5000, 'minibatch_size': 25, 'max_episodes': 5000, 'max_episode_len': 50, 'random_seed': 123, 'max_final_steps': 50, 'summary_dir': './results/tf_ddpg', 'env': <germanloanworld.GermanLoanWorld object at 0x000001F1C61308D0>} 


Initial State:  Age:29.000 | Credit Amt:6805.176 | Duration:31.973 | 
Reward:-226.744 | Episode:10 | Qmax:-2.4892 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-103.224 | Episode:20 | Qmax:-2.0450 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:30.280 | 
Reward:-103.152 | Episode:30 | Qmax:-1.4638 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:33.470 | 
Reward:-103.321 | Episode:40 | Qmax:-0.3685 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:33.914 | 
Reward:-103.404 | Episode:50 | Qmax:-0.5215 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:34.112 | 
Reward:-104.012 | Episode:60 | Qmax:-1.5795 | Episode Length:2 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:35.340 | 
Reward:-103.646 | Episode:70 | Qmax:-0.4878 | Episode Length:2 |  True | Age:29.081 | Credit Amt:1805.176 | Duration:34.603 | 
Reward:-103.364 | Episode:80 | Qmax:-1.4630 | Episode Length:2 |  True | Age:29.285 | Credit Amt:1805.176 | Duration:33.826 | 
Reward:-106.366 | Episode:90 | Qmax:-0.4172 | Episode Length:2 |  True | Age:29.523 | Credit Amt:1805.176 | Duration:25.915 | 
Reward:-110.793 | Episode:100 | Qmax:-0.7659 | Episode Length:3 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:23.105 | 
Reward:-106.817 | Episode:110 | Qmax:-0.1045 | Episode Length:2 |  True | Age:29.274 | Credit Amt:1805.176 | Duration:25.474 | 
Reward:-105.874 | Episode:120 | Qmax:-0.0971 | Episode Length:2 |  True | Age:29.716 | Credit Amt:1805.176 | Duration:26.438 | 
Reward:-106.920 | Episode:130 | Qmax:-0.1672 | Episode Length:2 |  True | Age:30.496 | Credit Amt:1805.176 | Duration:25.726 | 
Reward:-106.927 | Episode:140 | Qmax:-0.3294 | Episode Length:2 |  True | Age:30.659 | Credit Amt:1805.176 | Duration:25.775 | 
Reward:-105.909 | Episode:150 | Qmax:-0.2472 | Episode Length:2 |  True | Age:29.560 | Credit Amt:1805.176 | Duration:26.355 | 
Reward:-105.404 | Episode:160 | Qmax:-2.3722 | Episode Length:2 |  True | Age:29.668 | Credit Amt:1805.176 | Duration:26.928 | 
Reward:-105.552 | Episode:170 | Qmax:-1.5766 | Episode Length:2 |  True | Age:29.856 | Credit Amt:1805.176 | Duration:26.829 | 
Reward:-226.744 | Episode:180 | Qmax:-0.5367 | Episode Length:49 |  False | Age:39.000 | Credit Amt:11805.176 | Duration:21.973 | 
Reward:-226.744 | Episode:190 | Qmax:0.1227 | Episode Length:49 |  False | Age:39.000 | Credit Amt:11805.176 | Duration:21.973 | 
Reward:-226.744 | Episode:200 | Qmax:4.0319 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-106.583 | Episode:210 | Qmax:0.7498 | Episode Length:2 |  True | Age:30.590 | Credit Amt:1805.176 | Duration:26.056 | 
Reward:-58.810 | Episode:220 | Qmax:2.4662 | Episode Length:2 |  True | Age:30.538 | Credit Amt:2053.932 | Duration:26.452 | 
Reward:-110.579 | Episode:230 | Qmax:1.0992 | Episode Length:3 |  True | Age:30.828 | Credit Amt:1805.176 | Duration:23.491 | 
Reward:-226.744 | Episode:240 | Qmax:1.4400 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-45.501 | Episode:250 | Qmax:1.8919 | Episode Length:4 |  True | Age:29.000 | Credit Amt:2188.911 | Duration:21.973 | 
Reward:-55.208 | Episode:260 | Qmax:3.8350 | Episode Length:3 |  True | Age:29.000 | Credit Amt:2123.823 | Duration:21.973 | 
Reward:-11.797 | Episode:270 | Qmax:-0.6770 | Episode Length:3 |  True | Age:29.000 | Credit Amt:2457.993 | Duration:21.973 | 
Reward:-2.216 | Episode:280 | Qmax:0.4152 | Episode Length:5 |  True | Age:29.000 | Credit Amt:2550.998 | Duration:21.973 | 
Reward:-5.599 | Episode:290 | Qmax:1.7139 | Episode Length:6 |  True | Age:29.000 | Credit Amt:2517.095 | Duration:21.973 | 
Reward:-102.071 | Episode:300 | Qmax:2.3740 | Episode Length:3 |  True | Age:29.000 | Credit Amt:1860.703 | Duration:21.973 | 
Reward:9.927 | Episode:310 | Qmax:0.4193 | Episode Length:4 |  True | Age:29.000 | Credit Amt:2683.860 | Duration:21.973 | 
Reward:-77.493 | Episode:320 | Qmax:-0.2173 | Episode Length:4 |  True | Age:29.000 | Credit Amt:1989.509 | Duration:21.973 | 
Reward:-114.260 | Episode:330 | Qmax:1.0755 | Episode Length:3 |  True | Age:30.560 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-115.576 | Episode:340 | Qmax:0.4764 | Episode Length:4 |  True | Age:32.936 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-115.615 | Episode:350 | Qmax:2.7675 | Episode Length:4 |  True | Age:32.988 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-114.358 | Episode:360 | Qmax:2.8006 | Episode Length:5 |  True | Age:30.800 | Credit Amt:1805.176 | Duration:21.973 | 
Reward:-114.167 | Episode:370 | Qmax:2.1241 | Episode Length:3 |  True | Age:30.900 | Credit Amt:1805.176 | Duration:22.052 | 
Reward:-55.491 | Episode:380 | Qmax:1.3535 | Episode Length:2 |  True | Age:29.296 | Credit Amt:2080.406 | Duration:25.203 | 
Reward:-71.442 | Episode:390 | Qmax:1.4847 | Episode Length:2 |  True | Age:29.671 | Credit Amt:1999.024 | Duration:23.883 | 
Reward:-114.052 | Episode:400 | Qmax:1.3287 | Episode Length:3 |  True | Age:29.999 | Credit Amt:1805.176 | Duration:21.973 | 
